================================================================================
Viral Identification Comprehensive Analysis Report - MEGAHIT Assembly Results
VirSorter2 + DeepVirFinder
================================================================================

[Overall Statistics]
--------------------------------------------------------------------------------
VirSorter2 identified viral sequences:    1,600
DeepVirFinder identified viral sequences: 48,283
Consensus viral sequences (both tools):   1,600
VirSorter2 only:                          0
DeepVirFinder only:                       46,683

DeepVirFinder significant sequences (p<0.05): 2,241


[Consensus Viral Sequences (High Confidence)]
--------------------------------------------------------------------------------
Sequence Name                            VS2 Score    DVF Score    DVF P-value 
k141_16008                               0.920        0.001        4.91e-01    
k141_160125                              0.613        0.010        3.47e-01    
k141_160183                              0.980        0.993        6.65e-03    
k141_160353                              0.693        0.054        2.29e-01    
k141_160475                              0.867        0.530        5.24e-02    
k141_160623                              0.833        0.015        3.16e-01    
k141_160633                              0.707        0.438        8.69e-02    
k141_160894                              0.693        0.075        2.08e-01    
k141_160951                              0.700        0.000        7.86e-01    
k141_160955                              0.507        0.002        4.70e-01    
k141_16097                               0.880        0.000        6.41e-01    
k141_161035                              0.847        0.220        1.40e-01    
k141_161083                              0.540        0.016        3.10e-01    
k141_161095                              0.520        0.000        8.97e-01    
k141_161262                              1.000        0.353        1.07e-01    
k141_161343                              0.993        0.335        1.11e-01    
k141_161438                              0.760        0.518        5.51e-02    
k141_161712                              0.680        0.560        4.68e-02    
k141_161831                              0.800        0.005        3.98e-01    
k141_161956                              0.953        0.000        6.17e-01    
k141_162014                              0.747        0.000        5.87e-01    
k141_162016                              0.613        0.001        5.32e-01    
k141_16202                               0.600        0.000        7.83e-01    
k141_16206                               0.553        0.001        5.36e-01    
k141_162272                              0.833        0.152        1.64e-01    
k141_162307                              0.827        0.000        7.42e-01    
k141_162332                              0.980        0.001        5.20e-01    
k141_162439                              1.000        0.002        4.71e-01    
k141_162461                              1.000        0.016        3.09e-01    
k141_162664                              0.907        0.000        6.15e-01    
k141_16283                               0.993        0.866        2.04e-02    
k141_162863                              0.593        0.000        7.28e-01    
k141_163004                              0.560        0.460        8.10e-02    
k141_163047                              0.907        0.035        2.59e-01    
k141_163109                              0.953        0.097        1.91e-01    
k141_163144                              0.573        0.000        5.76e-01    
k141_163285                              0.993        0.034        2.61e-01    
k141_163388                              0.973        0.438        8.68e-02    
k141_163447                              0.547        0.004        4.02e-01    
k141_163482                              0.967        0.001        5.05e-01    
k141_163516                              0.940        0.000        7.82e-01    
k141_163782                              0.920        0.046        2.40e-01    
k141_163796                              0.587        0.000        8.65e-01    
k141_16385                               0.607        0.002        4.61e-01    
k141_164003                              0.960        0.026        2.77e-01    
k141_164021                              0.993        0.064        2.19e-01    
k141_164043                              0.947        0.996        5.68e-03    
k141_164230                              0.500        0.000        9.20e-01    
k141_164272                              0.887        0.000        6.10e-01    
k141_164343                              0.940        0.077        2.06e-01    
k141_164388                              0.720        0.115        1.81e-01    
k141_164389                              0.847        0.001        5.15e-01    
k141_164571                              0.987        0.499        6.39e-02    
k141_16458                               0.913        0.000        5.98e-01    
k141_164594                              0.960        0.048        2.37e-01    
k141_164620                              1.000        0.004        4.02e-01    
k141_16464                               0.600        0.051        2.33e-01    
k141_165084                              0.887        0.167        1.58e-01    
k141_165433                              0.913        0.008        3.57e-01    
k141_165556                              0.987        0.998        4.82e-03    
k141_165582                              0.633        0.009        3.55e-01    
k141_165733                              0.700        0.013        3.24e-01    
k141_165752                              0.980        0.002        4.72e-01    
k141_16579                               0.900        0.105        1.87e-01    
k141_165937                              0.560        0.008        3.60e-01    
k141_166247                              0.687        0.062        2.21e-01    
k141_166293                              0.980        0.013        3.22e-01    
k141_166537                              1.000        0.518        5.50e-02    
k141_16662                               0.920        0.177        1.55e-01    
k141_166828                              0.960        0.001        5.12e-01    
k141_16683                               0.927        0.463        8.01e-02    
k141_166986                              0.880        0.005        3.99e-01    
k141_167038                              0.507        0.000        8.12e-01    
k141_167311                              0.793        0.929        1.56e-02    
k141_167343                              nan          0.028        2.71e-01    
k141_167469                              1.000        0.997        5.10e-03    
k141_167742                              0.680        0.000        5.84e-01    
k141_16777                               0.633        0.573        4.52e-02    
k141_167803                              0.813        0.039        2.50e-01    
k141_167988                              0.967        0.671        3.55e-02    
k141_168119                              nan          0.405        9.49e-02    
k141_168128                              nan          0.246        1.33e-01    
k141_168177                              1.000        0.165        1.59e-01    
k141_168368                              0.947        0.014        3.21e-01    
k141_168569                              0.767        0.000        8.84e-01    
k141_168602                              nan          0.000        9.65e-01    
k141_168663                              0.880        0.001        5.03e-01    
k141_168726                              0.687        0.036        2.56e-01    
k141_168782                              0.640        0.000        7.04e-01    
k141_169219                              0.920        0.000        7.55e-01    
k141_169248                              0.580        0.012        3.32e-01    
k141_169254                              0.920        0.000        5.59e-01    
k141_169370                              0.660        1.000        7.93e-04    
k141_169384                              0.680        0.454        8.24e-02    
k141_169652                              0.893        0.856        2.11e-02    
k141_169676                              0.973        0.995        6.12e-03    
k141_169897                              0.873        0.559        4.70e-02    
k141_169930                              0.847        0.000        6.11e-01    
k141_169945                              nan          0.000        8.03e-01    
k141_170016                              1.000        0.000        7.10e-01    
k141_170030                              1.000        0.002        4.62e-01    
k141_170109                              0.887        0.002        4.63e-01    
k141_170120                              0.940        0.291        1.22e-01    
k141_170149                              0.980        0.168        1.58e-01    
k141_170482                              0.993        0.989        7.69e-03    
k141_170596                              0.933        0.003        4.24e-01    
k141_170628                              0.973        0.000        6.98e-01    
k141_170668                              0.973        0.000        6.16e-01    
k141_170723                              0.560        0.000        9.10e-01    
k141_17101                               0.873        0.330        1.13e-01    
k141_171045                              0.620        0.000        8.57e-01    
k141_17122                               0.747        0.721        3.13e-02    
k141_171242                              0.987        0.000        9.33e-01    
k141_171380                              0.593        0.034        2.61e-01    
k141_171528                              0.993        0.176        1.55e-01    
k141_171570                              0.527        0.988        7.86e-03    
k141_171731                              0.587        0.076        2.07e-01    
k141_171913                              0.580        0.894        1.82e-02    
k141_171950                              0.987        1.000        4.34e-04    
k141_17198                               0.973        0.058        2.25e-01    
k141_17213                               0.720        0.009        3.48e-01    
k141_172173                              0.620        0.093        1.94e-01    
k141_172186                              0.853        0.000        6.53e-01    
k141_17220                               0.993        0.750        2.92e-02    
k141_173236                              0.720        0.034        2.59e-01    
k141_173286                              0.947        0.084        2.00e-01    
k141_173494                              0.780        0.924        1.60e-02    
k141_173627                              0.900        0.484        7.21e-02    
k141_173902                              0.500        0.000        5.92e-01    
k141_173994                              0.720        0.008        3.56e-01    
k141_174010                              0.873        0.000        8.63e-01    
k141_174044                              0.587        0.000        5.96e-01    
k141_174189                              0.993        0.133        1.73e-01    
k141_174291                              0.980        0.989        7.67e-03    
k141_17446                               0.780        0.030        2.68e-01    
k141_174484                              0.953        0.287        1.23e-01    
k141_174624                              1.000        0.000        7.93e-01    
k141_175027                              0.967        0.036        2.57e-01    
k141_175086                              0.867        0.510        5.73e-02    
k141_175263                              0.953        0.989        7.61e-03    
k141_17532                               1.000        0.003        4.19e-01    
k141_175320                              0.567        0.033        2.62e-01    
k141_175521                              0.960        0.000        7.54e-01    
k141_175600                              0.993        0.000        6.82e-01    
k141_175628                              0.600        0.006        3.75e-01    
k141_175655                              0.660        0.000        6.72e-01    
k141_175701                              0.720        0.056        2.27e-01    
k141_175781                              0.833        0.014        3.21e-01    
k141_175980                              0.853        0.313        1.16e-01    
k141_176208                              0.940        0.119        1.79e-01    
k141_176269                              0.927        0.017        3.08e-01    
k141_176636                              0.747        0.058        2.25e-01    
k141_176679                              0.847        0.087        1.98e-01    
k141_176827                              0.660        0.006        3.82e-01    
k141_177056                              0.960        0.137        1.71e-01    
k141_177080                              0.960        0.003        4.32e-01    
k141_177085                              0.993        0.472        7.68e-02    
k141_177165                              0.847        0.033        2.63e-01    
k141_177217                              0.880        0.559        4.71e-02    
k141_177227                              0.973        0.011        3.37e-01    
k141_177421                              nan          0.307        1.18e-01    
k141_177456                              0.753        0.048        2.37e-01    
k141_177517                              0.713        0.027        2.74e-01    
k141_177537                              0.900        0.000        5.63e-01    
k141_177543                              0.607        0.000        7.81e-01    
k141_17755                               0.987        0.011        3.34e-01    
k141_177569                              0.900        0.155        1.63e-01    
k141_177653                              0.747        0.000        7.53e-01    
k141_177664                              0.540        0.000        5.84e-01    
k141_177920                              0.547        0.000        9.18e-01    
k141_178000                              nan          0.155        1.63e-01    
k141_178043                              1.000        0.726        3.10e-02    
k141_17811                               0.513        0.000        5.57e-01    
k141_178274                              0.513        0.000        8.08e-01    
k141_178293                              0.707        0.056        2.27e-01    
k141_178381                              nan          0.002        4.50e-01    
k141_178420                              0.987        0.001        5.18e-01    
k141_178465                              0.953        0.061        2.22e-01    
k141_178552                              0.953        0.740        2.99e-02    
k141_178593                              0.507        0.835        2.26e-02    
k141_178658                              0.760        0.027        2.76e-01    
k141_178714                              0.760        0.260        1.30e-01    
k141_17885                               nan          0.047        2.39e-01    
k141_179208                              1.000        0.519        5.48e-02    
k141_179322                              0.980        0.035        2.57e-01    
k141_179406                              0.707        0.004        4.10e-01    
k141_179649                              0.527        0.113        1.82e-01    
k141_179852                              0.773        0.003        4.22e-01    
k141_179912                              0.600        0.001        4.85e-01    
k141_180023                              0.813        0.039        2.50e-01    
k141_180040                              0.960        0.692        3.38e-02    
k141_180136                              0.920        0.960        1.24e-02    
k141_180138                              0.527        0.010        3.45e-01    
k141_180352                              0.513        0.000        8.49e-01    
k141_180437                              0.967        0.000        5.90e-01    
k141_180480                              0.887        0.959        1.26e-02    
k141_180515                              0.933        1.000        1.30e-03    
k141_180524                              1.000        0.997        5.12e-03    
k141_180582                              1.000        0.967        1.14e-02    
k141_180662                              0.620        0.100        1.89e-01    
k141_180858                              0.913        0.782        2.67e-02    
k141_181287                              0.987        0.517        5.53e-02    
k141_18411                               0.987        0.000        8.24e-01    
k141_18442                               0.827        0.000        7.57e-01    
k141_18603                               0.813        0.019        2.97e-01    
k141_18801                               0.507        0.002        4.57e-01    
k141_18979                               0.640        0.009        3.49e-01    
k141_19034                               0.927        0.000        6.32e-01    
k141_19266                               0.927        0.000        9.77e-01    
k141_19268                               0.960        0.000        5.89e-01    
k141_19317                               0.873        0.001        5.52e-01    
k141_19412                               0.973        0.324        1.14e-01    
k141_19425                               0.973        0.163        1.60e-01    
k141_19479                               0.827        0.004        4.12e-01    
k141_19517                               0.987        0.098        1.91e-01    
k141_19559                               0.887        0.453        8.26e-02    
k141_19802                               0.980        0.846        2.19e-02    
k141_20072                               0.967        0.001        5.56e-01    
k141_20118                               0.540        0.017        3.06e-01    
k141_20229                               nan          0.000        8.45e-01    
k141_20328                               0.927        0.011        3.39e-01    
k141_20422                               0.953        0.401        9.63e-02    
k141_20686                               1.000        0.000        9.55e-01    
k141_20727                               0.820        0.001        5.28e-01    
k141_20793                               0.980        0.000        9.51e-01    
k141_20926                               0.747        0.000        6.97e-01    
k141_20969                               0.813        0.415        9.29e-02    
k141_20996                               nan          0.004        4.14e-01    
k141_21351                               0.987        0.000        9.41e-01    
k141_21447                               0.547        0.001        5.04e-01    
k141_21455                               0.753        0.000        7.37e-01    
k141_21581                               0.827        0.105        1.87e-01    
k141_21640                               0.960        0.999        3.25e-03    
k141_21872                               0.527        0.074        2.09e-01    
k141_21965                               0.880        0.132        1.73e-01    
k141_21993                               0.867        0.335        1.11e-01    
k141_22005                               nan          0.000        5.69e-01    
k141_2203                                1.000        1.000        2.04e-03    
k141_22224                               0.613        0.000        6.65e-01    
k141_22229                               1.000        0.560        4.69e-02    
k141_22245                               0.987        0.002        4.67e-01    
k141_22441                               0.853        0.943        1.44e-02    
k141_22631                               0.600        0.022        2.90e-01    
k141_22637                               0.767        0.000        7.82e-01    
k141_22753                               0.993        0.259        1.30e-01    
k141_22795                               0.960        0.846        2.19e-02    
k141_22836                               0.713        0.089        1.97e-01    
k141_22889                               0.707        0.000        6.00e-01    
k141_22927                               0.993        0.090        1.96e-01    
k141_23087                               0.780        0.948        1.39e-02    
k141_23703                               0.993        0.000        5.97e-01    
k141_2383                                nan          0.182        1.53e-01    
k141_23880                               0.933        0.001        4.82e-01    
k141_24001                               0.987        0.126        1.76e-01    
k141_24023                               0.933        0.821        2.36e-02    
k141_24190                               0.933        0.014        3.18e-01    
k141_24198                               0.907        0.398        9.70e-02    
k141_24237                               0.847        0.031        2.65e-01    
k141_24519                               0.620        0.005        3.93e-01    
k141_24584                               0.520        0.002        4.54e-01    
k141_24605                               0.960        0.007        3.73e-01    
k141_24629                               0.993        0.000        9.42e-01    
k141_24878                               0.607        0.012        3.30e-01    
k141_25209                               0.993        0.058        2.25e-01    
k141_25299                               0.787        0.018        3.00e-01    
k141_25410                               0.940        0.000        6.24e-01    
k141_25503                               1.000        0.676        3.51e-02    
k141_25625                               0.680        0.033        2.62e-01    
k141_25715                               0.627        0.001        5.44e-01    
k141_25744                               1.000        0.493        6.75e-02    
k141_25868                               1.000        0.488        7.04e-02    
k141_25894                               0.993        0.317        1.15e-01    
k141_26032                               0.860        0.009        3.50e-01    
k141_26040                               0.520        0.082        2.02e-01    
k141_26041                               0.987        0.037        2.54e-01    
k141_2606                                0.993        0.947        1.40e-02    
k141_26138                               0.627        0.005        3.93e-01    
k141_26257                               0.987        0.762        2.85e-02    
k141_2686                                0.993        0.943        1.45e-02    
k141_26976                               nan          0.028        2.72e-01    
k141_26990                               0.540        0.599        4.24e-02    
k141_26993                               0.960        0.015        3.13e-01    
k141_27313                               0.933        0.000        6.38e-01    
k141_27414                               0.613        0.000        6.94e-01    
k141_27416                               1.000        0.088        1.97e-01    
k141_27568                               nan          0.163        1.60e-01    
k141_27609                               0.860        0.039        2.51e-01    
k141_27618                               1.000        0.005        3.97e-01    
k141_27774                               0.853        0.473        7.65e-02    
k141_27811                               0.913        0.043        2.45e-01    
k141_27863                               1.000        0.051        2.33e-01    
k141_27940                               0.553        0.197        1.48e-01    
k141_28067                               0.980        0.052        2.32e-01    
k141_28110                               0.953        0.380        1.01e-01    
k141_28245                               1.000        0.539        5.06e-02    
k141_28264                               0.980        0.011        3.36e-01    
k141_28330                               1.000        0.972        1.05e-02    
k141_28390                               1.000        0.080        2.03e-01    
k141_28865                               0.820        0.877        1.96e-02    
k141_28956                               0.500        0.000        8.16e-01    
k141_28983                               0.667        0.000        7.75e-01    
k141_29084                               nan          0.001        5.26e-01    
k141_29218                               0.940        0.079        2.04e-01    
k141_29243                               0.767        0.090        1.96e-01    
k141_29429                               nan          0.896        1.80e-02    
k141_2950                                0.520        0.004        4.10e-01    
k141_2965                                0.913        0.125        1.76e-01    
k141_29751                               0.880        0.106        1.86e-01    
k141_29930                               1.000        0.005        3.98e-01    
k141_29969                               0.760        0.169        1.58e-01    
k141_30168                               0.827        0.024        2.82e-01    
k141_30430                               0.847        0.019        2.97e-01    
k141_30517                               0.967        0.000        7.53e-01    
k141_30576                               0.793        0.000        7.11e-01    
k141_30577                               0.987        0.000        9.32e-01    
k141_30638                               0.813        0.073        2.10e-01    
k141_3071                                0.560        0.002        4.71e-01    
k141_30739                               0.740        0.000        6.50e-01    
k141_30802                               0.993        0.000        5.56e-01    
k141_309                                 0.733        0.884        1.90e-02    
k141_30970                               0.593        0.057        2.27e-01    
k141_31012                               0.973        0.171        1.57e-01    
k141_31033                               nan          0.000        8.33e-01    
k141_31107                               0.540        0.000        7.89e-01    
k141_31182                               0.507        0.814        2.42e-02    
k141_31234                               0.973        0.000        5.99e-01    
k141_31248                               1.000        0.010        3.42e-01    
k141_31392                               0.760        0.285        1.23e-01    
k141_3143                                0.753        0.000        7.64e-01    
k141_31529                               0.647        0.155        1.63e-01    
k141_3158                                1.000        0.000        5.66e-01    
k141_31703                               0.980        0.501        6.16e-02    
k141_31738                               0.893        0.003        4.38e-01    
k141_31830                               0.933        0.001        5.30e-01    
k141_31848                               0.973        0.001        5.52e-01    
k141_3191                                0.727        0.997        5.50e-03    
k141_31966                               0.960        0.983        8.91e-03    
k141_32063                               0.787        0.048        2.37e-01    
k141_32362                               1.000        0.269        1.27e-01    
k141_32475                               0.700        0.006        3.79e-01    
k141_32595                               0.747        0.000        6.29e-01    
k141_3308                                1.000        0.162        1.60e-01    
k141_33436                               0.780        0.001        4.94e-01    
k141_33476                               0.580        0.010        3.41e-01    
k141_33705                               0.833        0.000        9.47e-01    
k141_33775                               0.567        0.008        3.56e-01    
k141_33882                               0.500        0.000        7.78e-01    
k141_33886                               0.813        0.107        1.86e-01    
k141_3394                                0.840        0.170        1.57e-01    
k141_34256                               0.987        0.330        1.12e-01    
k141_34278                               1.000        0.001        5.14e-01    
k141_34355                               nan          0.227        1.39e-01    
k141_34399                               0.613        0.402        9.62e-02    
k141_34451                               0.840        1.000        0.00e+00    
k141_346                                 0.700        0.015        3.16e-01    
k141_34666                               0.987        0.021        2.90e-01    
k141_34851                               0.540        0.000        7.23e-01    
k141_34953                               0.947        0.010        3.43e-01    
k141_35051                               0.993        0.173        1.56e-01    
k141_35093                               0.833        0.884        1.90e-02    
k141_35138                               0.967        0.928        1.57e-02    
k141_35204                               0.960        0.383        1.00e-01    
k141_35274                               0.533        0.000        8.69e-01    
k141_35282                               0.560        0.003        4.37e-01    
k141_3542                                0.967        0.000        5.90e-01    
k141_35506                               0.513        0.004        4.15e-01    
k141_35587                               0.893        0.002        4.67e-01    
k141_35860                               0.993        0.307        1.17e-01    
k141_36020                               0.620        0.000        8.57e-01    
k141_36102                               0.513        0.000        9.43e-01    
k141_36818                               nan          0.007        3.67e-01    
k141_36887                               0.953        0.002        4.45e-01    
k141_36957                               1.000        0.159        1.61e-01    
k141_36985                               0.953        0.140        1.69e-01    
k141_37192                               0.960        0.302        1.19e-01    
k141_37252                               0.527        0.002        4.79e-01    
k141_37280                               0.847        0.580        4.45e-02    
k141_37307                               nan          0.342        1.10e-01    
k141_37430                               0.747        0.015        3.14e-01    
k141_37590                               0.907        0.109        1.84e-01    
k141_37689                               0.713        0.016        3.10e-01    
k141_37849                               0.693        0.135        1.72e-01    
k141_37903                               0.787        0.714        3.19e-02    
k141_37923                               0.840        0.136        1.71e-01    
k141_37932                               0.620        0.021        2.91e-01    
k141_38003                               0.893        0.006        3.81e-01    
k141_3803                                0.927        0.138        1.70e-01    
k141_38072                               0.793        0.022        2.87e-01    
k141_38108                               0.940        0.022        2.87e-01    
k141_38222                               0.527        0.000        7.41e-01    
k141_3840                                0.987        0.000        8.93e-01    
k141_38936                               0.993        0.015        3.13e-01    
k141_3921                                0.553        0.000        5.76e-01    
k141_39402                               0.947        0.007        3.73e-01    
k141_39436                               nan          0.761        2.86e-02    
k141_39569                               0.753        0.000        6.89e-01    
k141_39586                               0.753        0.013        3.25e-01    
k141_39610                               nan          0.263        1.29e-01    
k141_39678                               0.640        0.155        1.63e-01    
k141_3971                                0.567        0.000        7.04e-01    
k141_39905                               nan          0.499        6.37e-02    
k141_39967                               0.613        0.433        8.81e-02    
k141_40017                               0.993        0.394        9.80e-02    
k141_40191                               nan          0.010        3.46e-01    
k141_40228                               0.913        0.000        7.56e-01    
k141_40272                               1.000        0.329        1.13e-01    
k141_40368                               0.607        0.502        6.04e-02    
k141_40384                               nan          0.001        5.52e-01    
k141_40398                               0.540        0.048        2.37e-01    
k141_40504                               0.800        0.312        1.16e-01    
k141_40651                               0.820        0.065        2.17e-01    
k141_40726                               0.847        0.032        2.63e-01    
k141_40757                               0.973        0.031        2.65e-01    
k141_40923                               1.000        0.138        1.70e-01    
k141_41018                               0.993        0.623        3.97e-02    
k141_41071                               0.907        0.460        8.11e-02    
k141_41130                               nan          0.129        1.74e-01    
k141_41403                               0.753        0.932        1.54e-02    
k141_41417                               0.533        0.006        3.75e-01    
k141_41855                               0.547        0.554        4.78e-02    
k141_41893                               0.827        0.097        1.91e-01    
k141_41943                               0.587        0.998        4.82e-03    
k141_41983                               1.000        0.114        1.81e-01    
k141_42036                               0.867        0.440        8.62e-02    
k141_42154                               0.500        0.121        1.78e-01    
k141_42197                               0.960        0.015        3.13e-01    
k141_42200                               1.000        0.104        1.87e-01    
k141_42408                               0.967        0.015        3.13e-01    
k141_42533                               0.567        0.207        1.45e-01    
k141_42590                               0.920        0.280        1.25e-01    
k141_426                                 0.787        0.150        1.65e-01    
k141_42706                               0.687        0.000        8.90e-01    
k141_4303                                0.973        0.901        1.77e-02    
k141_43104                               0.667        0.000        7.59e-01    
k141_43112                               0.607        0.000        8.83e-01    
k141_43225                               0.607        0.000        6.62e-01    
k141_43367                               0.980        0.117        1.80e-01    
k141_43439                               0.900        0.999        4.19e-03    
k141_43521                               1.000        0.000        7.51e-01    
k141_43735                               0.953        0.004        4.11e-01    
k141_43840                               0.893        0.239        1.35e-01    
k141_43866                               0.833        0.003        4.24e-01    
k141_43909                               0.767        0.000        5.65e-01    
k141_43960                               0.627        0.000        5.65e-01    
k141_44251                               0.907        0.000        5.78e-01    
k141_44463                               0.867        0.000        7.67e-01    
k141_44516                               0.747        0.021        2.92e-01    
k141_44986                               0.793        0.763        2.85e-02    
k141_45015                               1.000        0.167        1.58e-01    
k141_45024                               0.973        0.004        4.19e-01    
k141_45066                               0.827        0.000        5.97e-01    
k141_45173                               0.807        0.354        1.07e-01    
k141_45203                               nan          0.296        1.20e-01    
k141_45676                               0.607        0.009        3.54e-01    
k141_45684                               0.987        0.565        4.64e-02    
k141_45727                               0.647        0.030        2.68e-01    
k141_45775                               0.547        0.000        8.40e-01    
k141_45809                               0.807        0.004        4.17e-01    
k141_45869                               0.553        0.000        7.14e-01    
k141_45889                               0.967        0.000        6.51e-01    
k141_46086                               1.000        0.607        4.16e-02    
k141_4618                                0.713        0.000        7.23e-01    
k141_46216                               0.767        0.295        1.21e-01    
k141_46276                               0.900        0.028        2.74e-01    
k141_46311                               nan          0.006        3.74e-01    
k141_46439                               0.840        0.008        3.64e-01    
k141_46530                               0.660        0.772        2.77e-02    
k141_4675                                0.847        0.002        4.74e-01    
k141_46759                               0.713        0.001        4.94e-01    
k141_46862                               0.853        0.484        7.23e-02    
k141_47100                               1.000        0.000        7.10e-01    
k141_47198                               0.987        0.002        4.48e-01    
k141_47361                               0.613        0.675        3.51e-02    
k141_47368                               0.933        0.108        1.85e-01    
k141_47417                               0.773        0.041        2.47e-01    
k141_47456                               0.920        0.463        8.01e-02    
k141_47555                               0.713        0.834        2.26e-02    
k141_47680                               0.720        0.003        4.30e-01    
k141_47689                               0.993        0.045        2.41e-01    
k141_47812                               0.673        0.006        3.85e-01    
k141_47986                               0.987        0.305        1.18e-01    
k141_48173                               0.960        0.038        2.53e-01    
k141_48207                               0.747        0.007        3.71e-01    
k141_48272                               0.553        0.000        6.95e-01    
k141_48331                               1.000        0.081        2.03e-01    
k141_48372                               0.940        0.325        1.14e-01    
k141_48456                               0.807        0.087        1.98e-01    
k141_48601                               1.000        0.020        2.95e-01    
k141_48653                               0.940        0.000        9.76e-01    
k141_48785                               0.873        0.008        3.56e-01    
k141_48883                               0.953        0.000        6.16e-01    
k141_48908                               0.980        0.867        2.03e-02    
k141_48952                               0.987        0.273        1.27e-01    
k141_48965                               0.807        0.168        1.58e-01    
k141_4915                                0.727        0.019        2.98e-01    
k141_49213                               1.000        0.113        1.82e-01    
k141_49274                               0.980        0.002        4.70e-01    
k141_49597                               0.960        0.633        3.89e-02    
k141_4971                                0.773        0.000        6.15e-01    
k141_49742                               0.900        0.334        1.12e-01    
k141_49778                               0.793        0.031        2.66e-01    
k141_49811                               nan          0.008        3.60e-01    
k141_49836                               0.567        0.014        3.20e-01    
k141_49950                               nan          0.876        1.98e-02    
k141_5021                                0.993        0.004        4.12e-01    
k141_50249                               0.907        0.003        4.26e-01    
k141_50282                               0.647        0.002        4.77e-01    
k141_5045                                nan          0.002        4.79e-01    
k141_50558                               0.907        0.001        5.13e-01    
k141_50693                               0.767        0.033        2.62e-01    
k141_5084                                0.813        0.033        2.61e-01    
k141_51008                               0.993        0.528        5.28e-02    
k141_51132                               0.580        0.262        1.29e-01    
k141_51148                               0.693        0.000        6.56e-01    
k141_51202                               0.560        0.860        2.08e-02    
k141_51354                               0.867        0.019        2.97e-01    
k141_51380                               0.560        0.000        6.62e-01    
k141_51386                               1.000        0.000        6.57e-01    
k141_5144                                0.967        0.383        1.01e-01    
k141_51526                               1.000        0.068        2.14e-01    
k141_51563                               0.607        0.000        5.95e-01    
k141_5160                                0.940        0.022        2.87e-01    
k141_51634                               0.967        0.711        3.22e-02    
k141_51742                               0.913        0.000        6.70e-01    
k141_51746                               0.993        0.001        4.93e-01    
k141_51870                               0.927        0.009        3.54e-01    
k141_519                                 0.727        0.049        2.36e-01    
k141_52121                               0.527        0.013        3.26e-01    
k141_52376                               0.827        0.000        6.31e-01    
k141_52511                               0.827        0.120        1.79e-01    
k141_52569                               0.913        0.086        1.99e-01    
k141_52803                               0.840        0.000        8.58e-01    
k141_52944                               0.927        0.000        7.03e-01    
k141_53094                               0.907        0.001        4.89e-01    
k141_53111                               0.800        0.050        2.35e-01    
k141_53121                               0.687        0.057        2.26e-01    
k141_53231                               0.900        0.000        8.01e-01    
k141_53255                               0.973        0.002        4.79e-01    
k141_53275                               0.580        0.000        8.77e-01    
k141_53284                               0.960        0.010        3.47e-01    
k141_53450                               0.767        0.078        2.06e-01    
k141_53572                               0.640        0.000        6.51e-01    
k141_53623                               0.893        0.001        5.28e-01    
k141_54111                               0.660        0.006        3.78e-01    
k141_54132                               1.000        0.713        3.20e-02    
k141_54136                               0.720        0.000        8.09e-01    
k141_54183                               0.893        0.046        2.40e-01    
k141_54237                               0.873        0.258        1.30e-01    
k141_54308                               0.840        0.000        9.72e-01    
k141_54448                               1.000        0.000        9.82e-01    
k141_54487                               0.593        0.000        5.95e-01    
k141_54758                               0.980        0.091        1.95e-01    
k141_54769                               0.900        1.000        1.78e-03    
k141_5477                                0.980        0.000        6.17e-01    
k141_549                                 0.713        0.020        2.93e-01    
k141_54957                               0.973        0.020        2.93e-01    
k141_55071                               0.540        0.025        2.79e-01    
k141_55083                               0.580        0.193        1.49e-01    
k141_55153                               0.787        0.742        2.98e-02    
k141_55245                               0.860        0.796        2.56e-02    
k141_55336                               0.973        0.010        3.46e-01    
k141_55404                               0.793        0.175        1.55e-01    
k141_55586                               0.720        0.005        3.88e-01    
k141_5578                                0.513        0.017        3.04e-01    
k141_560                                 0.773        0.486        7.14e-02    
k141_56028                               0.920        0.067        2.15e-01    
k141_56044                               0.993        0.070        2.13e-01    
k141_56119                               0.853        0.000        8.12e-01    
k141_56241                               0.987        0.007        3.65e-01    
k141_56360                               0.840        0.005        3.91e-01    
k141_56381                               0.980        0.253        1.31e-01    
k141_56433                               0.540        0.000        7.06e-01    
k141_56627                               0.647        0.021        2.91e-01    
k141_56691                               0.980        0.022        2.88e-01    
k141_56837                               0.560        0.009        3.50e-01    
k141_56974                               0.987        0.391        9.89e-02    
k141_57039                               0.973        0.543        5.00e-02    
k141_57164                               0.980        0.296        1.20e-01    
k141_57238                               0.760        0.000        6.09e-01    
k141_57566                               0.867        0.031        2.65e-01    
k141_57820                               0.567        0.000        8.73e-01    
k141_57874                               0.960        0.003        4.34e-01    
k141_58030                               0.993        0.006        3.85e-01    
k141_58050                               0.547        0.003        4.32e-01    
k141_58164                               0.960        0.364        1.05e-01    
k141_58170                               0.640        0.224        1.39e-01    
k141_58256                               nan          0.001        5.13e-01    
k141_5835                                0.673        0.000        9.17e-01    
k141_58497                               1.000        0.936        1.51e-02    
k141_58580                               0.793        0.003        4.39e-01    
k141_58667                               1.000        0.000        7.55e-01    
k141_58688                               0.987        1.000        2.04e-03    
k141_5873                                0.780        0.003        4.28e-01    
k141_58742                               0.600        0.002        4.79e-01    
k141_58855                               0.620        0.001        4.82e-01    
k141_59073                               0.987        0.061        2.22e-01    
k141_5946                                0.760        0.019        2.97e-01    
k141_59567                               0.953        0.012        3.33e-01    
